value,source,target
323,Rachel,Ross
286,Monica,Rachel
263,Monica,Ross
249,Joey,Rachel
241,Monica,Phoebe
220,Joey,Ross
210,Chandler,Monica
201,Chandler,Ross
197,Chandler,Joey
189,Joey,Monica
185,Phoebe,Rachel
175,Phoebe,Ross
153,Joey,Phoebe
148,Chandler,Rachel
142,Chandler,Phoebe
86,Emily,Ross
50,Carol,Ross
47,Richard,Ross
36,Mike,Phoebe
35,Ben,Ross
32,Emily,Waltham
32,Frank,Phoebe
30,Ross,Susan
30,Darling,Emily
26,Monica,Richard
25,Jessica,Joey
24,Jack,Ross
23,Barry,Rachel
21,Eleonora,Story
21,Big,Monica
21,Rachel,Zelner
21,Phoebe,Story
21,Story,Vanessa
21,Chandler,Emily
20,Mitchell,Monica
20,Jack,Monica
19,Amy,Rachel
19,Mike,Monica
18,Chip,Monica
18,Chandler,Fat
18,Joshua,Rachel
17,Ben,Monica
17,Johnny,Richard
16,Drake,Rachel
16,Emma,Ross
15,Sebastiano,Story
15,Marcel,Ross
15,Alice,Phoebe
15,Emma,Rachel
14,Julie,Ross
14,Phoebe,Waltham
13,Greg,Phoebe
13,Judy,Monica
13,Molly,Ross
13,Jack,Rachel
13,Ben,Phoebe
13,Judy,Ross
12,Gunther,Ross
12,Gavin,Rachel
11,Erin,Joey
11,Chandler,Issac
11,Drake,Joey
11,Charlie,Ross
11,Joey,Mike
11,Gary,Story
11,Jenny,Phoebe
11,Judy,Richard
11,Chandler,Chip
11,David,Phoebe
10,David,Monica
10,Joey,Mary
10,Fat,Monica
10,Joey,Sarah
10,Parker,Rachel
10,Rachel,Rosen
10,Chandler,Nancy
10,Olivia,Rachel
10,Joanne,Monica
10,Betty,Phoebe
10,Ross,Waltham
10,Emma,Joey
9,Emma,Phoebe
9,Fat,Ross
9,Mike,Ross
9,Phoebe,Santa
9,Chandler,David
9,Harad,Phoebe
9,Harmon,Richard
9,Monica,VAN
9,Bob,Richard
9,Chip,Ross
9,Jack,Richard
9,Jack,Phoebe
8,Kristen,Ross
8,Monica,Rosen
8,Paolo,Rachel
8,Chester,Phoebe
8,Carol,Monica
8,Joey,Treeger
8,Mary,Phoebe
8,Emily,Joey
8,Chandler,Mike
8,Rachel,Ralph
8,LITTLE,Ross
8,Emily,Steven
8,Andrea,Emily
8,Rachel,Waltham
8,Marcia,Phoebe
8,Amy,Phoebe
7,Jordie,Ross
7,Chandler,Jasmine
7,Mindy,Rachel
7,Chandler,Chloe
7,Chandler,Eric
7,Chandler,Emma
7,Jill,Rachel
7,Campbell,Rachel
7,Chip,Zana
7,Pete,Rachel
7,Joanna,Rachel
7,Radio,Ross
7,Chip,Simmons
7,Joey,Ronni
7,Monica,Susan
7,Phoebe,Trudie
7,Carol,Rachel
7,Ben,Rachel
7,Phoebe,Susan
7,Mark,Rachel
6,Frank,Monica
6,Brian,Story
6,Emily,Rachel
6,Joey,Richard
6,Frank,Rachel
6,Estelle,Joey
6,Parker,Ross
6,Aired,Phoebe
6,Charlie,Monica
6,Charlie,Rachel
6,Fonzie,Phoebe
6,Sebastian,Story
6,Aired,Vanessa
6,Aired,Sebastian
6,Aired,Eleonora
6,Aired,Robert
6,Paul,Ross
6,Aired,Gary
6,Aired,Brian
6,Phoebe,ether
6,Lizzie,Paul
6,Julie,Rachel
6,Jacques,Joey
6,Phoebe,Ursula
6,Ben,Joey
6,Iris,Monica
6,Hugsy,Joey
6,Philange,Phoebe
6,Donny,Gene
6,Chandler,Kathy
6,Ron,Ross
6,Emily,Monica
6,Roni,Story
6,Big,Ross
6,Joey,Ma
6,Amber,Drake
6,Ross,Roy
6,Chandler,Janice
5,Marcel,Rachel
5,Lilly,Phoebe
5,Mike,Rachel
5,John,Rachel
5,Chandler,Heldi
5,Monica,Parker
5,Lillian,Ross
5,Joey,Tony
5,Chandler,Fonzie
5,Monica,Nancy
5,Mona,Ross
5,Joey,Stryker
5,Chandler,Mary-Angela
5,Chandler,Richard
5,Phoebe,Rick
5,Rachel,Radio
5,Barry,Ross
5,Elizabeth,Ross
5,Rachel,Wineburg
5,Phoebe,Simon
5,Daddy,Rachel
5,Dana,Story
5,Ben,Chandler
5,Danny,Rachel
5,Janice,Rachel
5,Janice,Phoebe
5,Joey,Joseph
5,Greg,Monica
5,Gunther,Joey
5,Rachel,Raven
5,Janice,Monica
5,David,Mike
5,BURKE,Monica
5,Rachel,Tag
5,Angela,Joey
5,Michael,Monica
5,Conan,Friends
5,Phoebe,Richard
5,Scott,Story
5,Joey,Parker
5,Story,Terry
5,Nancy,Ross
5,Charlie,Phoebe
5,Neil,Phoebe
5,Sheldon,Story
5,Bonnie,Joey
5,Shana,Story
5,Emma,Monica
5,Parker,Phoebe
5,Joey,Kay
5,Ross,Zelner
5,Eric,Friends
5,Francis,Rachel
5,Chip,Spindler
4,Ernest,Rachel
4,Dorothy,Rachel
4,Harad,Ross
4,Chandler,Jessica
4,Elizabeth,Rachel
4,Marcel,Monica
4,Erica,Monica
4,Grrrreat,Joey
4,Chandler,Halle
4,Earl,Phoebe
4,Duncan,Joey
4,Donny,Henrietta
4,Chandler,Val
4,Chandler,Kim
4,Dirk,Joey
4,Charlie,Joey
4,Johnson,Ross
4,Chip,Devane
4,Chip,Goldie
4,Chip,Kelly
4,Judy,Phoebe
4,Chip,Rachel
4,Chris,Rachel
4,Christie,Gene
4,Joey,Lou
4,Joey,Kash
4,Joey,John
4,Kim,Ralph
4,Daniel,Rachel
4,Janice,Sid
4,Chandler,Monty
4,Chandler,Molly
4,Chandler,Yasmine
4,Chandler,Melba
4,Chandler,Mary
4,Janice,Joey
4,Intercom,Remore
4,Lisa,Ross
4,-,Amy
4,Estelle,Phoebe
4,Monica,Pete
4,Rachel,Tova
4,Rachel,Uma
4,Mira,Monica
4,Batman,Chandler
4,Cecilia,Joey
4,Amy,Charlie
4,Phoebe,Robert
4,Ross,Ruth
4,Amy,Emma
4,Monica,Sandra
4,Amy,Ross
4,Amy,be
4,Phoebe,Theodore
4,Chandler,Cindy
4,Mitchell,Rachel
4,Ashley,Joey
4,Rachel,no
4,Phoebe,Vince
4,Monica,Steve
4,Mitchell,Ross
4,Mom,Rachel
4,Monica,Will
4,Monica,Nana
4,Allesandro,Emillio
4,Monica,Paul
4,Adrienne,Ross
4,BIG,Ross
4,Rachel,Sting
4,Paolo,Ross
4,Michelle,Rachel
4,Alice,Frank
4,Alice,Rachel
4,Alison,Joey
4,Carol,Susan
4,Rachel,Winona
4,Rachel,Thompson
4,Allesandro,Monica
4,Rachel,Tommy
4,Phoebe,Potter
4,Phoebe,Precious
4,Bill,Phoebe
4,Brittany,Joey
3,Bazida,Joey
3,Phoebe,plese
3,Janice,Ross
3,Rachel,Sandrine
3,David,Max
3,Baldhara,Ross
3,Chandler,Friends
3,Danny,Krista
3,Phoebe,Treeger
3,Joey,Nasforatool
3,Bob,Toby
3,Bob,Phoebe
3,Bob,Joey
3,Blaine,Ross
3,Billy,Rachel
3,Cindy,Gene
3,Joey,Lauren
3,Claudia,Gene
3,Joey,Kyle
3,Joey,Kristen
3,Joey,Kathy
3,Joey,Kate
3,Big,Chandler
3,Beth,Joey
3,Dan,Rachel
3,Dan,Ross
3,Bernice,Farber
3,Dina,Joey
3,Rachel,Sophie
3,Ross,Tony
3,Friends,Rachel
3,Friends,Monica
3,Ross,Sequoia
3,Friends,Joey
3,Ross,Stevens
3,Emily,Liam
3,Emily,Phoebe
3,Ross,Treeger
3,Amber,REMORE
3,Allesandro,Tony
3,Allesandro,Marie
3,Allesandro,Carlos
3,Alex,Joey
3,Francis,Phoebe
3,Erica,Joey
3,Eva,Joey
3,Gary,Monica
3,Ross,Sarah
3,David,Rachel
3,Annie,Phoebe
3,Debra,Monica
3,Rachel,Ursula
3,Dina,Jessica
3,Joey,Paolo
3,Intercom,REMORE
3,Armadillo,Monica
3,Heckles,Ross
3,Heathcliff,Phoebe
3,Eddie,Sean
3,Heath,Ross
3,Ane,By
3,Raymond,Ross
3,Rhodes,Ross
3,Ross,Rover
3,Gene,Heidi
3,Gavin,Joey
3,Charlton,Joey
3,Chuck,Phoebe
3,Chandler,Harad
3,Chandler,Eddie
3,Joey,Victor
3,Joey,Wallace
3,Maitre,Rachel
3,Mindy,Monica
3,Chandler,Mary-Theresa
3,Lynch,Rachel
3,Lydia,Ross
3,Chandler,Dennis
3,Chandler,Joseph
3,Monica,Tim
3,Chandler,Joshua
3,Chandler,Julie
3,Monica,Tennant
3,Burt,Ross
3,Chandler,Dan
3,By,Roger
3,By,Sebastian
3,Carol,Joey
3,Chandler,Clunkers
3,Katelynn,Phoebe
3,Monica,Nora
3,Lily,Phoebe
3,Cathy,Phoebe
3,Mona,Phoebe
3,Chandler,Missy
3,Mom,Ross
3,Leslie,Phoebe
3,Chandler,Isaac
3,Molly,Rachel
3,Brian,By
3,Nana,Ross
3,Michelle,Monica
3,Joey,Raymond
3,Bravo,Chandler
3,Marta,Monica
3,Morgan,Rachel
3,Chandler,Heckles
3,Joey,Paul
3,Joey,Peter
3,Chandler,Frank
3,Michelle,Ross
3,Mork,Phoebe
3,Mark,Monica
2,Sebastiano,Transcribed
2,Fellas,Gunther
2,Missy,Ross
2,Gunther,Monica
2,Lisa,Richard
2,Grumpus,Sandy
2,Gunther,Rachel
2,Marie,Monica
2,Liddy,Monica
2,Lifson,Max
2,Hamilton,Ross
2,Sandy,Wigglemunch
2,Rachel,mira
2,Susan,Theodore
