,Speaker,Dialogue
0,Monica,There's nothing to tell! He's just some guy I work with!
1,Joey,"C'mon, you're going out with the guy! There's gotta be something wrong with him!"
2,Chandler,"All right Joey, be nice. So does he have a hump? A hump and a hairpiece?"
3,Phoebe,"Wait, does he eat chalk?"
4,Phoebe,"Just, 'cause, I don't want her to go through what I went through with Carl- oh!"
5,Monica,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex."
6,Chandler,Sounds like a date to me.
7,Chandler,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked."
8,Chandler,"Then I look down, and I realize there's a phone... there."
9,Joey,Instead of...?
10,Chandler,That's right.
11,Joey,Never had that dream.
12,Phoebe,No.
13,Chandler,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me."
14,Monica,And they weren't looking at you before?!
15,Chandler,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!"
16,Ross,Hi.
17,Joey,"This guy says hello, I wanna kill myself."
18,Monica,"Are you okay, sweetie?"
19,Ross,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck..."
20,Chandler,Cookie?
21,Monica,Carol moved her stuff out today.
22,Joey,Ohh.
23,Monica,Let me get you some coffee.
24,Ross,Thanks.
25,Phoebe,Ooh! Oh!
26,Ross,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?"
27,Phoebe,Fine! Be murky!
28,Ross,"I'll be fine, alright? Really, everyone. I hope she'll be very happy."
29,Monica,No you don't.
30,Ross,"No I don't, to hell with her, she left me!"
31,Joey,And you never knew she was a lesbian...
32,Ross,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?"
33,Chandler,Sometimes I wish I was a lesbian... Did I say that out loud?
34,Ross,"I told mom and dad last night, they seemed to take it pretty well."
35,Monica,"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?"
36,Ross,Sorry.
37,Joey,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?"
38,Joey,"Strip joint! C'mon, you're single! Have some hormones!"
39,Ross,"I don't want to be single, okay? I just... I just- I just wanna be married again!"
40,Chandler,And I just want a million dollars!
41,Monica,Rachel?!
42,Rachel,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"
43,Waitress,Can I get you some coffee?
44,Monica,"De-caff. Okay, everybody, this is Rachel, another Lincoln High survivor. This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?"
45,Rachel,"Hi, sure!"
46,Ross,Hi.
47,Monica,"So you wanna tell us now, or are we waiting for four wet bridesmaids?"
48,Rachel,"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city."
49,Monica,Who wasn't invited to the wedding.
50,Monica,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it."
51,Chandler,Tuna or egg salad? Decide!
52,Ross,I'll have whatever Christine is having.
53,Rachel,"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!"
54,Phoebe,"If I let go of my hair, my head will fall off."
55,Chandler,"Ooh, she should not be wearing those pants."
56,Joey,"I say push her down the stairs. Phoebe, Ross, Chandler, and Joey: Push her down the stairs! Push her down the stairs! Push her down the stairs!"
57,Rachel,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!"
58,Ross,You can see where he'd have trouble.
59,Rachel,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica."
60,Monica,"Well, I guess we've established who's staying here with Monica..."
61,Rachel,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!"
62,Monica,"Just breathe, breathe.. that's it. Just try to think of nice calm things..."
63,Phoebe,"Raindrops on roses and rabbits and kittens, bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few..."
64,Rachel,I'm all better now.
65,Phoebe,I helped!
66,Monica,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing."
67,Joey,"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot."
68,Monica,"Joey, stop hitting on her! It's her wedding day!"
69,Joey,"What, like there's a rule or something?"
70,Chandler,"Please don't do that again, it's a horrible sound."
71,Paul,"It's, uh, it's Paul."
72,Monica,"Oh God, is it 6:30? Buzz him in!"
73,Joey,Who's Paul?
74,Ross,"Paul the Wine Guy, Paul?"
75,Monica,Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?
76,Ross,He finally asked you out?
77,Monica,Yes!
78,Chandler,"Ooh, this is a Dear Diary moment."
79,Monica,"Rach, wait, I can cancel..."
80,Rachel,"Please, no, go, that'd be fine!"
81,Monica,"Are, are you okay? I mean, do you want me to stay?"
